"model_id","reference_datetime","datetime","variable","prediction"
"OneDProcessModel",2022-01-07,2022-01-23,"chlorophyll-a",22.6352108718335
"OneDProcessModel",2022-01-07,2022-01-24,"chlorophyll-a",22.4996865329794
"OneDProcessModel",2022-01-07,2022-01-25,"chlorophyll-a",21.5769963353115
"OneDProcessModel",2022-01-07,2022-01-26,"chlorophyll-a",17.6841891006054
"OneDProcessModel",2022-01-07,2022-01-27,"chlorophyll-a",16.3769605844985
"OneDProcessModel",2022-01-07,2022-01-28,"chlorophyll-a",17.7919583600655
"OneDProcessModel",2022-01-07,2022-01-29,"chlorophyll-a",19.5126091180783
"OneDProcessModel",2022-01-07,2022-01-30,"chlorophyll-a",20.3648473711051
"OneDProcessModel",2022-01-07,2022-01-31,"chlorophyll-a",20.3255760426627
"OneDProcessModel",2022-01-07,2022-02-01,"chlorophyll-a",20.8401981466875
"OneDProcessModel",2022-01-07,2022-02-02,"chlorophyll-a",21.0562226990775
"OneDProcessModel",2022-01-07,2022-02-03,"chlorophyll-a",21.1973386935782
"OneDProcessModel",2022-01-07,2022-02-04,"chlorophyll-a",18.3074012103018
"OneDProcessModel",2022-01-07,2022-02-05,"chlorophyll-a",18.1536994130223
"OneDProcessModel",2022-01-07,2022-02-06,"chlorophyll-a",18.1868620426631
"OneDProcessModel",2022-01-07,2022-02-07,"chlorophyll-a",20.4375832850931
"OneDProcessModel",2022-01-07,2022-02-08,"chlorophyll-a",17.3046551190668
"OneDProcessModel",2022-01-07,2022-02-09,"chlorophyll-a",18.641186886695
"OneDProcessModel",2022-01-07,2022-02-10,"chlorophyll-a",18.3842339569957
"OneDProcessModel",2022-01-07,2022-02-11,"chlorophyll-a",20.1785052452497
"OneDProcessModel",2022-01-08,2022-01-08,"chlorophyll-a",11.7771527916667
"OneDProcessModel",2022-01-08,2022-01-09,"chlorophyll-a",10.532142791688
"OneDProcessModel",2022-01-08,2022-01-10,"chlorophyll-a",12.0583780775513
"OneDProcessModel",2022-01-08,2022-01-11,"chlorophyll-a",12.8721817356494
"OneDProcessModel",2022-01-08,2022-01-12,"chlorophyll-a",13.0157351700659
"OneDProcessModel",2022-01-08,2022-01-13,"chlorophyll-a",10.6469462019503
"OneDProcessModel",2022-01-08,2022-01-14,"chlorophyll-a",16.6603232568218
"OneDProcessModel",2022-01-08,2022-01-15,"chlorophyll-a",21.1087598299599
"OneDProcessModel",2022-01-08,2022-01-16,"chlorophyll-a",15.9441564632809
"OneDProcessModel",2022-01-08,2022-01-17,"chlorophyll-a",15.2308813247183
"OneDProcessModel",2022-01-08,2022-01-18,"chlorophyll-a",15.9298177883168
