"model_id","reference_datetime","datetime","variable","prediction"
"LSTM",2022-01-14,2022-01-29,"chlorophyll-a",9.36250877380371
"LSTM",2022-01-14,2022-01-30,"chlorophyll-a",9.36255550384522
"LSTM",2022-01-14,2022-01-31,"chlorophyll-a",9.3626012802124
"LSTM",2022-01-14,2022-02-01,"chlorophyll-a",9.36262607574463
"LSTM",2022-01-14,2022-02-02,"chlorophyll-a",9.36264324188232
"LSTM",2022-01-14,2022-02-03,"chlorophyll-a",9.36264705657959
"LSTM",2022-01-15,2022-01-15,"chlorophyll-a",14.5384722222222
"LSTM",2022-01-15,2022-01-16,"chlorophyll-a",9.85403919219971
"LSTM",2022-01-15,2022-01-17,"chlorophyll-a",9.64547634124756
"LSTM",2022-01-15,2022-01-18,"chlorophyll-a",9.53477573394775
"LSTM",2022-01-15,2022-01-19,"chlorophyll-a",9.46796035766602
"LSTM",2022-01-15,2022-01-20,"chlorophyll-a",9.42729187011719
"LSTM",2022-01-15,2022-01-21,"chlorophyll-a",9.40702247619629
"LSTM",2022-01-15,2022-01-22,"chlorophyll-a",9.39343357086182
"LSTM",2022-01-15,2022-01-23,"chlorophyll-a",9.38653945922852
"LSTM",2022-01-15,2022-01-24,"chlorophyll-a",9.3829174041748
"LSTM",2022-01-15,2022-01-25,"chlorophyll-a",9.38094806671143
"LSTM",2022-01-15,2022-01-26,"chlorophyll-a",9.37960243225098
"LSTM",2022-01-15,2022-01-27,"chlorophyll-a",9.37875461578369
"LSTM",2022-01-15,2022-01-28,"chlorophyll-a",9.37832546234131
"LSTM",2022-01-15,2022-01-29,"chlorophyll-a",9.3781328201294
"LSTM",2022-01-15,2022-01-30,"chlorophyll-a",9.37815952301025
"LSTM",2022-01-15,2022-01-31,"chlorophyll-a",9.37817668914795
"LSTM",2022-01-15,2022-02-01,"chlorophyll-a",9.3781909942627
"LSTM",2022-01-15,2022-02-02,"chlorophyll-a",9.37820434570312
"LSTM",2022-01-15,2022-02-03,"chlorophyll-a",9.37821197509766
"LSTM",2022-01-15,2022-02-04,"chlorophyll-a",9.37821674346924
"LSTM",2022-01-16,2022-01-16,"chlorophyll-a",14.3880985915493
"LSTM",2022-01-16,2022-01-17,"chlorophyll-a",9.82931518554688
"LSTM",2022-01-16,2022-01-18,"chlorophyll-a",9.61998176574707
"LSTM",2022-01-16,2022-01-19,"chlorophyll-a",9.5125675201416
"LSTM",2022-01-16,2022-01-20,"chlorophyll-a",9.45672035217285
"LSTM",2022-01-16,2022-01-21,"chlorophyll-a",9.42385959625244
"LSTM",2022-01-16,2022-01-22,"chlorophyll-a",9.40438556671143
